stop sign ,-13120.718,5936242.678,755.745,-13120.71601,5936242.678,755.7419286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csp,-12712.51,5936049.149,763.164,-12712.51055,5936049.148,763.1645027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csp,-12769.505,5936489.021,762.279,-12769.50498,5936489.021,762.278432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community sign,-13120.082,5936433.493,755.955,-13120.08365,5936433.493,755.958279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keypad post,-12509.805,5937000.392,743.066,-12509.80492,5937000.392,743.0660151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop sign ahead,-13124.199,5937218.63,741.606,-13124.19906,5937218.63,741.6061274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Haven sign,-13119.279,5937003.393,749.364,-13119.27883,5937003.393,749.3635374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end of road sign,-13957.916,5935786.272,748.851,-13957.91566,5935786.272,748.8509201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield sign,-14352.251,5935634.467,740.329,-14352.25125,5935634.467,740.3292562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate post ,-14633.825,5935330.526,746.765,-14633.81954,5935330.5,746.6387366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen Lake Estates sign,-14734.691,5935545.846,741.762,-14734.69082,5935545.846,741.7634985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop sign,-14777.864,5935902.402,740.447,-14777.86413,5935902.402,740.4465397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop sign,-14788.494,5934852.673,750.005,-14788.49453,5934852.672,750.005228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black and White Post,-14393.277,5934658.914,756.019,-14393.28307,5934658.922,756.0251195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield sign,-14335.583,5934716.045,753.92,-14335.57547,5934716.038,753.9113885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedestal,-14044.605,5934831.495,747.082,-14044.60569,5934831.495,747.0825597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anchor,-13775.392,5934752.192,750.253,-13775.39188,5934752.192,750.2532416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black and White Post,-13469.828,5934814.167,761.977,-13469.82776,5934814.167,761.9756857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
street sign,-13121.263,5934945.206,751.715,-13121.26259,5934945.207,751.7189539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black and White Post,-12929.006,5934923.989,750.633,-12929.00674,5934923.988,750.6308266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop sign,-15089.465,5934270.742,748.098,-15089.46366,5934270.744,748.0967733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield sign,-15269.892,5933939.702,759.197,-15269.8939,5933939.702,759.1958236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agricultural sign,-15347.939,5933625.646,762.469,-15347.93808,5933625.646,762.4696167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop sign,-15362.233,5934269.631,741.845,-15362.23293,5934269.63,741.8456651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
street sign,-14785.049,5934270.094,751.435,-14785.04937,5934270.093,751.4365765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
